institución,DIRECCIÓN,GEOLOCALIZACIÓN,UNIDAD ACADÉMICA / ÁREA,CARRERAS,LINK,Tipo,PERIODO DE INSCRIPCIÓN,Teléfono,CONTACTO,INFO ADICIONAL
ISFD N° 113,"Cochabamba 2280, San Martín","-34.57296, -58.53753",,Profesorado en Historia,http://www.isfd113.edu.ar/,Educación Superior,,47523952 | 45089120,isfd113@yahoo.com.ar,
ISFD N° 113,"Cochabamba 2280, San Martín","-34.57296, -58.53753",,Profesorado en Filosofía,http://www.isfd113.edu.ar/,Educación Superior,,47523952 | 45089120,isfd113@yahoo.com.ar,
ISFD N° 113,"Cochabamba 2280, San Martín","-34.57296, -58.53753",,Profesorado en Educación Inicial,http://www.isfd113.edu.ar/,Educación Superior,,47523952 | 45089120,isfd113@yahoo.com.ar,
ISFD N° 113,"Cochabamba 2280, San Martín","-34.57296, -58.53753",,Profesorado en Educación Primaria,http://www.isfd113.edu.ar/,Educación Superior,,47523952 | 45089120,isfd113@yahoo.com.ar,
ISFD N° 113,"Cochabamba 2280, San Martín","-34.57296, -58.53753",,Profesorado en Educación Especial,http://www.isfd113.edu.ar/,Educación Superior,,47523952 | 45089120,isfd113@yahoo.com.ar,
ISFD Nº 174,"Balcarce 3469, Villa Ballester","-34.5543, -58.56261",,Prof. de Educación Primaria,isfd174-bue.infd.edu.ar,Educación Superior,,51978548,unidadacade174@yahoo.com.ar,
ISFD Nº 174,"Balcarce 3469, Villa Ballester","-34.5543, -58.56261",,Prof. de Biología,isfd174-bue.infd.edu.ar,Educación Superior,,51978548,unidadacade174@yahoo.com.ar,
ISFD Nº 174,"Balcarce 3469, Villa Ballester","-34.5543, -58.56261",,Prof. de Inglés,isfd174-bue.infd.edu.ar,Educación Superior,,51978548,unidadacade174@yahoo.com.ar,
ISFD Nº 174,"Balcarce 3469, Villa Ballester","-34.5543, -58.56261",,Prof. de Geografía,isfd174-bue.infd.edu.ar,Educación Superior,,51978548,unidadacade174@yahoo.com.ar,
ISFD Nº 174,"Balcarce 3469, Villa Ballester","-34.5543, -58.56261",,Prof. de Lengua y Literatura,isfd174-bue.infd.edu.ar,Educación Superior,,51978548,unidadacade174@yahoo.com.ar,
ISFD Nº 174,"Balcarce 3469, Villa Ballester","-34.5543, -58.56261",,Prof. de Química,isfd174-bue.infd.edu.ar,Educación Superior,,51978548,unidadacade174@yahoo.com.ar,
ISFDyT Nº 114 (José Gabriel Tupac Amaru II),"Mitre 5035, Villa Ballester","-34.54391, -58.56133",,Profesorado en educación Primaria,isfd174-bue.infd.edu.ar,Educación Superior,,51978548,unidadacade174@yahoo.com.ar,
ISFDyT Nº 114 (José Gabriel Tupac Amaru II),"Mitre 5035, Villa Ballester","-34.54391, -58.56133",,Profesorado en Inglés,isfd174-bue.infd.edu.ar,Educación Superior,,51978548,unidadacade174@yahoo.com.ar,
ISFDyT Nº 114 (José Gabriel Tupac Amaru II),"Mitre 5035, Villa Ballester","-34.54391, -58.56133",,Profesorado en Biología,isfd174-bue.infd.edu.ar,Educación Superior,,51978548,unidadacade174@yahoo.com.ar,
ISFDyT Nº 114 (José Gabriel Tupac Amaru II),"Mitre 5035, Villa Ballester","-34.54391, -58.56133",,Profesorado en Lengua y Literatura,isfd174-bue.infd.edu.ar,Educación Superior,,51978548,unidadacade174@yahoo.com.ar,
ISFDyT Nº 114 (José Gabriel Tupac Amaru II),"Mitre 5035, Villa Ballester","-34.54391, -58.56133",,Profesorado en Química,isfd174-bue.infd.edu.ar,Educación Superior,,51978548,unidadacade174@yahoo.com.ar,
ISFDyT Nº 114 (José Gabriel Tupac Amaru II),"Mitre 5035, Villa Ballester","-34.54391, -58.56133",,Profesorado en Geografía,isfd174-bue.infd.edu.ar,Educación Superior,,51978548,unidadacade174@yahoo.com.ar,
ISFDyT Nº 114 (José Gabriel Tupac Amaru II),"Mitre 5035, Villa Ballester","-34.54391, -58.56133",,Prof. en Tecnologías de Equipos e Instalaciones Electromecánicas,isfd174-bue.infd.edu.ar,Educación Superior,,51978548,unidadacade174@yahoo.com.ar,
ISFDyT Nº 114 (José Gabriel Tupac Amaru II),"Mitre 5035, Villa Ballester","-34.54391, -58.56133",,Profesorado/Tecnicatura,isfd174-bue.infd.edu.ar,Educación Superior,,51978548,unidadacade174@yahoo.com.ar,
ISFDyT Nº 114 (José Gabriel Tupac Amaru II),"Mitre 5035, Villa Ballester","-34.54391, -58.56133",,Profesorado en Economía,isfd174-bue.infd.edu.ar,Educación Superior,,51978548,unidadacade174@yahoo.com.ar,
ISFDyT Nº 114 (José Gabriel Tupac Amaru II),"Mitre 5035, Villa Ballester","-34.54391, -58.56133",,Profesorado en Física,isfd174-bue.infd.edu.ar,Educación Superior,,51978548,unidadacade174@yahoo.com.ar,
ISFDyT Nº 114 (José Gabriel Tupac Amaru II),"Mitre 5035, Villa Ballester","-34.54391, -58.56133",,Profesorado en Matemática,isfd174-bue.infd.edu.ar,Educación Superior,,51978548,unidadacade174@yahoo.com.ar,
ISFDyT Nº 114 (José Gabriel Tupac Amaru II),"Mitre 5035, Villa Ballester","-34.54391, -58.56133",,Tecnicatura Superior en Análisis de Sistemas,isfd174-bue.infd.edu.ar,Educación Superior,,51978548,unidadacade174@yahoo.com.ar,
ISFDyT Nº 114 (José Gabriel Tupac Amaru II),"Mitre 5035, Villa Ballester","-34.54391, -58.56133",,Tecnicatura Superior en Bibliotecología,isfd174-bue.infd.edu.ar,Educación Superior,,51978548,unidadacade174@yahoo.com.ar,
ISFDyT Nº 114 (José Gabriel Tupac Amaru II),"Mitre 5035, Villa Ballester","-34.54391, -58.56133",,Tecnicatura Superior en Mantenimiento Industrial,isfd174-bue.infd.edu.ar,Educación Superior,,51978548,unidadacade174@yahoo.com.ar,
ISFT Nº 183,"San Martín 1714, San Martín","-34.57575, -58.53709",,Tecnicatura Superior en Administración General,isft183.edu.ar,Educación Superior,,4589 2322 | 4713 2816,isft183@gmail.com,
ISFT Nº 183,"San Martín 1714, San Martín","-34.57575, -58.53709",,Tecnicatura Superior en Administración de Recursos Humanos,isft183.edu.ar,Educación Superior,,4589 2322 | 4713 2816,isft183@gmail.com,
ISFT Nº 183,"San Martín 1714, San Martín","-34.57575, -58.53709",,Tecnicatura Superior en Higiene y Seguridad en el Trabajo,isft183.edu.ar,Educación Superior,,4589 2322 | 4713 2816,isft183@gmail.com,
ISFT Nº 183,"San Martín 1714, San Martín","-34.57575, -58.53709",,Tecnicatura Superior en Logística,isft183.edu.ar,Educación Superior,,4589 2322 | 4713 2816,isft183@gmail.com,
ISFT Nº 225,Rivadavia 3915,"-34.57519, -58.54292",,,https://linktr.ee/isft225,Educación Superior,,1128332101 (WhatsApp),isft225sanmartin@abc.gob.ar,
Juventudes,"Moreno 3943, C1650 San Martín, Provincia de Buenos Aires","-34.57969, -58.53779",,Programación ,,Curso,,,,
Juventudes,"Moreno 3943, C1650 San Martín, Provincia de Buenos Aires","-34.57969, -58.53779",,Programación,,Curso,,,,
Juventudes,"Moreno 3943, C1650 San Martín, Provincia de Buenos Aires","-34.57969, -58.53779",,Programación,,Curso,,,,
Juventudes,"Moreno 3943, C1650 San Martín, Provincia de Buenos Aires","-34.57969, -58.53779",,Programación,,Curso,,,,
Juventudes,"Moreno 3943, C1650 San Martín, Provincia de Buenos Aires","-34.57969, -58.53779",,Programación ,,Curso,,,,
Liceo Superior de Cultura Inglesa,"Tucumán 2853, San Martín","-34.57111, -58.54739",,,,Educación Superior,,,,
Personas Mayores,"Int. Alberto M. Campos 1793, B1650 San Martín, Provincia de Buenos Aires","-34.57898, -58.53446",,Computación,,Curso,,,,
Personas Mayores,"Int. Alberto M. Campos 1793, B1650 San Martín, Provincia de Buenos Aires","-34.57898, -58.53446",,Uso del Celular + Redes sociales,,Curso,,,,
Personas Mayores,"Azcuénaga 4556, B1672 Villa Lynch, Provincia de Buenos Aires","-34.59581, -58.53006",,Redes Sociales,,Curso,,,,
Personas Mayores,"Azcuénaga 4556, B1672 Villa Lynch, Provincia de Buenos Aires","-34.59581, -58.53006",,Inclusión Digital,,Curso,,,,
Personas Mayores,"Canese 4100, B1651 Villa Granaderos de San Martín, Provincia de Buenos Aires","-34.54091, -58.53251",,Computación,,Curso,,,,
Punto Digital,"Canese 4100, B1651 Villa Granaderos de San Martín, Provincia de Buenos Aires","-34.54091, -58.53251",,Uso del Celular + Redes sociales,,Curso,,,,
Punto Digital,"Canese 4100, B1651 Villa Granaderos de San Martín, Provincia de Buenos Aires","-34.54091, -58.53251",,Uso del Celular + Redes sociales,,Curso,,,,
Punto Digital,"Canese 4100, B1651 Villa Granaderos de San Martín, Provincia de Buenos Aires","-34.54091, -58.53251",,Computación,,Curso,,,,
Punto Digital,"Canese 4100, B1651 Villa Granaderos de San Martín, Provincia de Buenos Aires","-34.54091, -58.53251",,Alfabetización Digital infancias,,Curso,,,,
Punto Digital,"Canese 4100, B1651 Villa Granaderos de San Martín, Provincia de Buenos Aires","-34.54091, -58.53251",,Programación,,Curso,,,,
Punto PyME  ,"Av. Ricardo Balbín 2127, San Martín","-34.58001, -58.54261",,Excel Desde Cero,,Sedes Potenciate,,,,
Taller Escuela de Automovilismo - CFP 8732,"Dr. Honaine 2725, Villa Ballester","-34.56953, -58.54288",,Auxiliar mecánico,tallerescueladeautomovilismo.com | IG: @tallerescueladeautomovilismo,Educación Superior,,4752 3315 | WhatsApp: 11 40784861 / 11 22945034,,
Taller Escuela de Automovilismo - CFP 8732,"Dr. Honaine 2725, Villa Ballester","-34.56953, -58.54288",,Mecánico de sistemas de encendido y alimentación,tallerescueladeautomovilismo.com | IG: @tallerescueladeautomovilismo,Educación Superior,,4752 3315 | WhatsApp: 11 40784861 / 11 22945034,,
Taller Escuela de Automovilismo - CFP 8732,"Dr. Honaine 2725, Villa Ballester","-34.56953, -58.54288",,Transmisión manual y automática,tallerescueladeautomovilismo.com | IG: @tallerescueladeautomovilismo,Educación Superior,,4752 3315 | WhatsApp: 11 40784861 / 11 22945034,,
Taller Escuela de Automovilismo - CFP 8732,"Dr. Honaine 2725, Villa Ballester","-34.56953, -58.54288",,Aire Acondicionado,tallerescueladeautomovilismo.com | IG: @tallerescueladeautomovilismo,Educación Superior,,4752 3315 | WhatsApp: 11 40784861 / 11 22945034,,
Taller Escuela de Automovilismo - CFP 8732,"Dr. Honaine 2725, Villa Ballester","-34.56953, -58.54288",,Suspensión y Amortiguadores,tallerescueladeautomovilismo.com | IG: @tallerescueladeautomovilismo,Educación Superior,,4752 3315 | WhatsApp: 11 40784861 / 11 22945034,,
Taller Escuela de Automovilismo - CFP 8732,"Dr. Honaine 2725, Villa Ballester","-34.56953, -58.54288",,Alarmas y Audio Car,tallerescueladeautomovilismo.com | IG: @tallerescueladeautomovilismo,Educación Superior,,4752 3315 | WhatsApp: 11 40784861 / 11 22945034,,
Taller Escuela de Automovilismo - CFP 8732,"Dr. Honaine 2725, Villa Ballester","-34.56953, -58.54288",,Motores de Competición,tallerescueladeautomovilismo.com | IG: @tallerescueladeautomovilismo,Educación Superior,,4752 3315 | WhatsApp: 11 40784861 / 11 22945034,,
Taller Escuela de Automovilismo - CFP 8732,"Dr. Honaine 2725, Villa Ballester","-34.56953, -58.54288",,Suspensión y Setup,tallerescueladeautomovilismo.com | IG: @tallerescueladeautomovilismo,Educación Superior,,4752 3315 | WhatsApp: 11 40784861 / 11 22945034,,
Taller Escuela de Automovilismo - CFP 8732,"Dr. Honaine 2725, Villa Ballester","-34.56953, -58.54288",,Adquisición de Datos,tallerescueladeautomovilismo.com | IG: @tallerescueladeautomovilismo,Educación Superior,,4752 3315 | WhatsApp: 11 40784861 / 11 22945034,,
UNSAM,"Av. 25 de Mayo 1169, B1650 San Martín, Provincia de Buenos Aires","-34.58056207530275, -58.52249443229431",Escuela de Ciencia y Tecnología,Ingeniería Electrónica,https://www.unsam.edu.ar/escuelas/ecyt/89/ciencia/ingenieria-Electrónica, Ingeniería,Del 08 al 26 de septiembre,,ecyt.estudiantes@unsam.edu.ar,
UNSAM,"Av. 25 de Mayo 1169, B1650 San Martín, Provincia de Buenos Aires","-34.58056207530275, -58.52249443229432",Escuela de Ciencia y Tecnología,Ambiental,https://www.unsam.edu.ar/escuelas/ecyt/171/ciencia/ingenieria-ambiental, Ingeniería,Del 08 al 26 de septiembre,,ecyt.estudiantes@unsam.edu.ar,
UNSAM,"Av. 25 de Mayo 1169, B1650 San Martín, Provincia de Buenos Aires","-34.58056207530275, -58.52249443229433",Escuela de Ciencia y Tecnología,Biomédica,https://www.unsam.edu.ar/escuelas/ecyt/172/ciencia/ingenieria-biomedica, Ingeniería,Del 08 al 26 de septiembre,,ecyt.estudiantes@unsam.edu.ar,
UNSAM,"Av. 25 de Mayo 1169, B1650 San Martín, Provincia de Buenos Aires","-34.58056207530275, -58.52249443229434",Escuela de Ciencia y Tecnología,Energía,https://www.unsam.edu.ar/escuelas/ecyt/173/ciencia/ingenieria-energia, Ingeniería,Del 08 al 26 de septiembre,,ecyt.estudiantes@unsam.edu.ar,
UNSAM,"Av. 25 de Mayo 1169, B1650 San Martín, Provincia de Buenos Aires","-34.58056207530275, -58.52249443229435",Escuela de Ciencia y Tecnología,Telecomunicaciones,https://www.unsam.edu.ar/escuelas/ecyt/174/ciencia/ingenieria-telecomunicaciones, Ingeniería,Del 08 al 26 de septiembre,,ecyt.estudiantes@unsam.edu.ar,
UNSAM,"Av. 25 de Mayo 1169, B1650 San Martín, Provincia de Buenos Aires","-34.58056207530275, -58.52249443229436",Escuela de Ciencia y Tecnología,Industrial,https://www.unsam.edu.ar/escuelas/ecyt/175/ciencia/ingenieria-industrial, Ingeniería,Del 08 al 26 de septiembre,,ecyt.estudiantes@unsam.edu.ar,
UNSAM,"Av. 25 de Mayo 1169, B1650 San Martín, Provincia de Buenos Aires","-34.58056207530275, -58.52249443229437",Escuela de Ciencia y Tecnología,Transporte,https://www.unsam.edu.ar/escuelas/ecyt/617/ciencia/transporte, Ingeniería,Del 08 al 26 de septiembre,,ecyt.estudiantes@unsam.edu.ar,
UNSAM,"Av. 25 de Mayo 1169, B1650 San Martín, Provincia de Buenos Aires","-34.58056207530275, -58.52249443229438",Escuela de Ciencia y Tecnología,Sistemas Espaciales,https://www.unsam.edu.ar/escuelas/ecyt/738/ecyt/sistemas-espaciales, Ingeniería,Del 08 al 26 de septiembre,,ecyt.estudiantes@unsam.edu.ar,
UNSAM,"Av. 25 de Mayo 1169, B1650 San Martín, Provincia de Buenos Aires","-34.58056207530275, -58.52249443229453",Instituto Dan Beninson,Nuclear con orientación en aplicaciones,https://www.unsam.edu.ar/institutos/danbeninson/368/danbeninson/nuclear, Ingeniería,,,ingenierianuclearbeninson@gmail.com,
UNSAM,"Av. 25 de Mayo 1169, B1650 San Martín, Provincia de Buenos Aires","-34.58056207530275, -58.52249443229458",Instituto de Tecnología Prof. Jorge Sabato,Materiales,https://www.unsam.edu.ar/institutos/sabato/30/sabato/materiales, Ingeniería,,,,
UNSAM,"Av. 25 de Mayo 1169, B1650 San Martín, Provincia de Buenos Aires","-34.58056207530275, -58.52249443229474",Escuela de Hábitat y Sostenibilidad,Ambiental,https://www.unsam.edu.ar/escuelas/ehys/180/3ia/ambiental, Ingeniería,Del 08 al 26 de septiembre,,ecyt.alumnos@unsam.edu.ar,
UNSAM,"Av. 25 de Mayo 1169, B1650 San Martín, Provincia de Buenos Aires","-34.58056207530275, -58.52249443229475",Escuela de Hábitat y Sostenibilidad,Transporte,https://www.unsam.edu.ar/escuelas/ehys/370/transporte/transporte, Ingeniería,,,ing.transporte@unsam.edu.ar ,
UNSAM,"Av. 25 de Mayo 1169, B1650 San Martín, Provincia de Buenos Aires","-34.58056207530275, -58.52249443229492",Escuela de Bio y Nanotecnologías,Agrobiotecnología,https://www.unsam.edu.ar/escuelas/ebyn/254/ebyn/agrobiotecnologia, Ingeniería,,,docencia@intech.gov.ar,
UNSAM,"Av. 25 de Mayo 1169, B1650 San Martín, Provincia de Buenos Aires","-34.58056207530275, -58.52249443229414",Escuela de Economía y Negocios,Guía de Turismo,https://www.unsam.edu.ar/escuelas/eeyn/714/economia/guia-turismo, Tecnicatura,,,http://consultaseeyn.unsam.edu.ar/,
UNSAM,"Av. 25 de Mayo 1169, B1650 San Martín, Provincia de Buenos Aires","-34.58056207530275, -58.52249443229428",Escuela de Ciencia y Tecnología,Diagnóstico por Imágenes,https://www.unsam.edu.ar/escuelas/ecyt/15/ciencia/diagnostico-imagenes, Tecnicatura,Del 08 al 26 de septiembre,,ecyt.estudiantes@unsam.edu.ar,
UNSAM,"Av. 25 de Mayo 1169, B1650 San Martín, Provincia de Buenos Aires","-34.58056207530275, -58.52249443229429",Escuela de Ciencia y Tecnología,Programación Informática,https://www.unsam.edu.ar/escuelas/ecyt/107/ciencia/programacion-Informática, Tecnicatura,Del 08 al 26 de septiembre,,ecyt.estudiantes@unsam.edu.ar,
UNSAM,"Av. 25 de Mayo 1169, B1650 San Martín, Provincia de Buenos Aires","-34.58056207530275, -58.52249443229430",Escuela de Ciencia y Tecnología,Redes Informáticas,https://www.unsam.edu.ar/escuelas/ecyt/109/ciencia/redes-informaticas, Tecnicatura,Del 08 al 26 de septiembre,,ecyt.estudiantes@unsam.edu.ar,
UNSAM,"Av. 25 de Mayo 1169, B1650 San Martín, Provincia de Buenos Aires","-34.58056207530275, -58.52249443229452",Instituto Dan Beninson,Aplicaciones Nucleares,https://www.unsam.edu.ar/institutos/danbeninson/186/dan-beninson/aplicaciones-nucleares, Tecnicatura,,,kaplan@cae.cnea.gov.ar,
UNSAM,"Av. 25 de Mayo 1169, B1650 San Martín, Provincia de Buenos Aires","-34.58056207530275, -58.52249443229464",Escuela de Arte y Patrimonio,Animación 3D y Efectos Visuales,https://www.unsam.edu.ar/escuelas/eayp/455/artes/animacion-3d-efectos-visuales, Tecnicatura,octubre 2026,,serviciosacademicos.eayp@unsam.edu.ar,
UNSAM,"Av. 25 de Mayo 1169, B1650 San Martín, Provincia de Buenos Aires","-34.58056207530275, -58.52249443229473",Escuela de Hábitat y Sostenibilidad,Arquitectura,https://www.unsam.edu.ar/escuelas/ehys/325/ia/arquitectura,Arquitectura,Del 1 al 21 de octubre de 2025,,iaestudiantes@unsam.edu.ar,
UNSAM,"Av. 25 de Mayo 1169, B1650 San Martín, Provincia de Buenos Aires","-34.58056207530275, -58.52249443229343",Escuela Interdisciplinaria de Altos Estudios Sociales - IDAES,Antropología Social,https://www.unsam.edu.ar/escuelas/eidaes/234/idaes/antropologia-social2,Doctorado,Del 01/09 al 19/12 de 2025,,,
UNSAM,"Av. 25 de Mayo 1169, B1650 San Martín, Provincia de Buenos Aires","-34.58056207530275, -58.52249443229360",Escuela de Política y Gobierno,Ciencia Política,https://www.unsam.edu.ar/escuelas/epyg/145/Política/ciencia-politica2,Doctorado,,,,
UNSAM,"Av. 25 de Mayo 1169, B1650 San Martín, Provincia de Buenos Aires","-34.58056207530275, -58.52249443229361",Escuela de Política y Gobierno,Relaciones Internacionales,https://www.unsam.edu.ar/escuelas/epyg/650/Política/relaciones-internacionales,Doctorado,,,,
UNSAM,"Av. 25 de Mayo 1169, B1650 San Martín, Provincia de Buenos Aires","-34.58056207530275, -58.52249443229362",Escuela de Política y Gobierno,Administración y Políticas Públicas,https://www.unsam.edu.ar/escuelas/epyg/677/Política/administracion-Políticas-publicas,Doctorado,,,,
UNSAM,"Av. 25 de Mayo 1169, B1650 San Martín, Provincia de Buenos Aires","-34.58056207530275, -58.52249443229392",Escuela de Humanidades,Filosofía,https://www.unsam.edu.ar/escuelas/eh/188/humanidades/filosofia2,Doctorado,,,,
UNSAM,"Av. 25 de Mayo 1169, B1650 San Martín, Provincia de Buenos Aires","-34.58056207530275, -58.52249443229393",Escuela de Humanidades,Educación,https://www.unsam.edu.ar/escuelas/eh/305/humanidades/educacion2,Doctorado,,,,
UNSAM,"Av. 25 de Mayo 1169, B1650 San Martín, Provincia de Buenos Aires","-34.58056207530275, -58.52249443229394",Escuela de Humanidades,Ciencias Humanas,https://www.unsam.edu.ar/escuelas/eh/623/humanidades/ciencias-humanas,Doctorado,,,,
UNSAM,"Av. 25 de Mayo 1169, B1650 San Martín, Provincia de Buenos Aires","-34.58056207530275, -58.52249443229420",Escuela de Economía y Negocios,Economía de la Innovación,https://www.unsam.edu.ar/escuelas/eeyn/670/economia/doctorado-economia-innovacion,Doctorado,,,,
UNSAM,"Av. 25 de Mayo 1169, B1650 San Martín, Provincia de Buenos Aires","-34.58056207530275, -58.52249443229421",Escuela de Economía y Negocios,Ciencias Económicas,https://www.unsam.edu.ar/escuelas/eeyn/695/economia/doctorado-ciencias-economicas,Doctorado,,,,
UNSAM,"Av. 25 de Mayo 1169, B1650 San Martín, Provincia de Buenos Aires","-34.58056207530275, -58.52249443229444",Escuela de Ciencia y Tecnología,Ciencias Aplicadas y de la Ingeniería,https://www.unsam.edu.ar/escuelas/ecyt/336/ciencia/ciencias-aplicadas,Doctorado,,,,
UNSAM,"Av. 25 de Mayo 1169, B1650 San Martín, Provincia de Buenos Aires","-34.58056207530275, -58.52249443229454",Instituto Dan Beninson,Tecnología Nuclear,https://www.unsam.edu.ar/institutos/danbeninson/307/dan-beninson/tecnologia-nuclear,Doctorado,,,,
UNSAM,"Av. 25 de Mayo 1169, B1650 San Martín, Provincia de Buenos Aires","-34.58056207530275, -58.52249443229459",Instituto de Tecnología Prof. Jorge Sabato,"Ciencia y Tecnología, mención Materiales",https://www.unsam.edu.ar/institutos/sabato/32/sabato/materiales2,Doctorado,,,,
UNSAM,"Av. 25 de Mayo 1169, B1650 San Martín, Provincia de Buenos Aires","-34.58056207530275, -58.52249443229460",Instituto de Tecnología Prof. Jorge Sabato,"Ciencia y Tecnología, mención Física",https://www.unsam.edu.ar/institutos/sabato/33/sabato/mencion-fisica,Doctorado,,,,
UNSAM,"Av. 25 de Mayo 1169, B1650 San Martín, Provincia de Buenos Aires","-34.58056207530275, -58.52249443229461",Instituto de Tecnología Prof. Jorge Sabato,Astrofísica,https://www.unsam.edu.ar/institutos/sabato/462/sabato/astrofisica,Doctorado,,,,
UNSAM,"Av. 25 de Mayo 1169, B1650 San Martín, Provincia de Buenos Aires","-34.58056207530275, -58.52249443229477",Escuela de Hábitat y Sostenibilidad,Ciencia y Tecnología Mención Química,https://www.unsam.edu.ar/escuelas/ehys/65/3ia/Química,Doctorado,,,,
UNSAM,"Av. 25 de Mayo 1169, B1650 San Martín, Provincia de Buenos Aires","-34.58056207530275, -58.52249443229478",Escuela de Hábitat y Sostenibilidad,Ciencias Ambientales,https://www.unsam.edu.ar/escuelas/ehys/586/3ia/ciencias-ambientales,Doctorado,,,,
UNSAM,"Av. 25 de Mayo 1169, B1650 San Martín, Provincia de Buenos Aires","-34.58056207530275, -58.52249443229494",Escuela de Bio y Nanotecnologías,Biología Molecular y Biotecnología,https://www.unsam.edu.ar/escuelas/ebyn/35/ebyn/Biología-molecular,Doctorado,,,,
UNSAM,"Av. 25 de Mayo 1169, B1650 San Martín, Provincia de Buenos Aires","-34.58056207530275, -58.52249443229344",Escuela Interdisciplinaria de Altos Estudios Sociales - IDAES,Gestión Cultural y Políticas Culturales,https://www.unsam.edu.ar/escuelas/eidaes/167/idaes/gestion-cultural,Especialización,Del 01/09 al 19/12 de 2025,,,
UNSAM,"Av. 25 de Mayo 1169, B1650 San Martín, Provincia de Buenos Aires","-34.58056207530275, -58.52249443229363",Escuela de Política y Gobierno,Auditoría Gubernamental,https://www.unsam.edu.ar/escuelas/epyg/17/Política/auditoria-gubernamental-esp,Especialización,,,,
UNSAM,"Av. 25 de Mayo 1169, B1650 San Martín, Provincia de Buenos Aires","-34.58056207530275, -58.52249443229364",Escuela de Política y Gobierno,Evaluación de Políticas Públicas,https://www.unsam.edu.ar/escuelas/epyg/431/Política/evaluacion-Políticas-publicas,Especialización,,,,
UNSAM,"Av. 25 de Mayo 1169, B1650 San Martín, Provincia de Buenos Aires","-34.58056207530275, -58.52249443229365",Escuela de Política y Gobierno,Gestión de la Sustentabilidad Urbana,https://www.unsam.edu.ar/escuelas/epyg/657/Política/Gestion-Sustentabilidad-Urbana,Especialización,,,,
UNSAM,"Av. 25 de Mayo 1169, B1650 San Martín, Provincia de Buenos Aires","-34.58056207530275, -58.52249443229395",Escuela de Humanidades,Cooperación Internacional,https://www.unsam.edu.ar/escuelas/eh/138/humanidades/cooperacion-internacional,Especialización,,,,
UNSAM,"Av. 25 de Mayo 1169, B1650 San Martín, Provincia de Buenos Aires","-34.58056207530275, -58.52249443229396",Escuela de Humanidades,"Educación, Lenguajes y Medios",https://www.unsam.edu.ar/escuelas/eh/146/humanidades/lenguajes-medios2,Especialización,,,,
UNSAM,"Av. 25 de Mayo 1169, B1650 San Martín, Provincia de Buenos Aires","-34.58056207530275, -58.52249443229397",Escuela de Humanidades,Enseñanza de las Ciencias Experimentales y Matemática,https://www.unsam.edu.ar/escuelas/eh/148/humanidades/experimentales-matematica2,Especialización,,,,
UNSAM,"Av. 25 de Mayo 1169, B1650 San Martín, Provincia de Buenos Aires","-34.58056207530275, -58.52249443229398",Escuela de Humanidades,Derechos Humanos y Políticas Sociales,https://www.unsam.edu.ar/escuelas/eh/159/humanidades/Políticas-sociales,Especialización,,,,
UNSAM,"Av. 25 de Mayo 1169, B1650 San Martín, Provincia de Buenos Aires","-34.58056207530275, -58.52249443229399",Escuela de Humanidades,Teoría y Práctica Psicoanalítica,https://www.unsam.edu.ar/escuelas/eh/550/humanidades/teoria-practica-psicoanalitica,Especialización,,,,
UNSAM,"Av. 25 de Mayo 1169, B1650 San Martín, Provincia de Buenos Aires","-34.58056207530275, -58.52249443229400",Escuela de Humanidades,Literatura Infantil y Juvenil,https://www.unsam.edu.ar/escuelas/eh/736/humanidades/especializacion-infantil-juvenil,Especialización,,,,
UNSAM,"Av. 25 de Mayo 1169, B1650 San Martín, Provincia de Buenos Aires","-34.58056207530275, -58.52249443229422",Escuela de Economía y Negocios,Gestión de la Tecnología y la Innovación,https://www.unsam.edu.ar/escuelas/eeyn/183/economia/gestion-tecnologia-innovacion,Especialización,,,,
UNSAM,"Av. 25 de Mayo 1169, B1650 San Martín, Provincia de Buenos Aires","-34.58056207530275, -58.52249443229423",Escuela de Economía y Negocios,Economía y desarrollo del turismo,https://www.unsam.edu.ar/escuelas/eeyn/699/economia/economia-desarrollo-turismo,Especialización,,,,
UNSAM,"Av. 25 de Mayo 1169, B1650 San Martín, Provincia de Buenos Aires","-34.58056207530275, -58.52249443229424",Escuela de Economía y Negocios,Gestión Financiera Pública,https://www.unsam.edu.ar/escuelas/eeyn/700/economia/gestion-financiera-publica,Especialización,,,,
UNSAM,"Av. 25 de Mayo 1169, B1650 San Martín, Provincia de Buenos Aires","-34.58056207530275, -58.52249443229445",Escuela de Ciencia y Tecnología,Física de la Medicina Nuclear,https://www.unsam.edu.ar/escuelas/ecyt/300/ciencia/fisica-medicina-nuclear,Especialización,,,,
UNSAM,"Av. 25 de Mayo 1169, B1650 San Martín, Provincia de Buenos Aires","-34.58056207530275, -58.52249443229455",Instituto Dan Beninson,Radioquímica y Aplicaciones Nucleares,https://www.unsam.edu.ar/institutos/danbeninson/136/dan-beninson/radioquimica,Especialización,,,,
UNSAM,"Av. 25 de Mayo 1169, B1650 San Martín, Provincia de Buenos Aires","-34.58056207530275, -58.52249443229456",Instituto Dan Beninson,Reactores Nucleares y su Ciclo de Combustible,https://www.unsam.edu.ar/institutos/danbeninson/137/dan-beninson/reactores-nucleares,Especialización,,,,
